speaker_id,task,text,info_sex,info_age,info_l1_english,info_l1_other,info_l2_english_l1,info_l2_english_aoa
7,phonecall,hello I'm good how are we're redoing it 'cause I no I didn't mess up I'm O K but yeah what are you doing do you have any work to do oh you should stay a Thursday night and then I can go you said it was from Monday to Sunday oh that's quail I could go to quail on Friday oh it's not that many miles I'll just go one day and then we can drive to L A afterwards ah lame O K filtered_well I'll text you after work um around three yeah I have to go to lions gate and drop off a mac mini and then the buck calls O K love you too bye,F,21,Y,NA,NA,NA
7,neutral,last night my roommate and I wanted to go out to dinner we were trying to decide where to go she said oh filtered_well let's go to an Italian place and I said filtered_well Italians not really healthy Let's choose somewhere that's a little bit more healthy and then she said okay how about sushi? and I said sure sushi sounds great filtered_so we went on yelp and we looked at different sushi restaurants and she said let's go to this sushi restaurant in Beverly Hills; it has really good reviews. and I said perfect,F,21,Y,NA,NA,NA
167,annoyed,"Hey why is all your clothes all over the floor? I thought we agreed that we're gonna clean the apartment. and all of your stuff is still scattered around everywhere. for left for me to pick up? What is wrong with you, filtered_like I you said you're gonna be um have some free time now all you do all day is just watch T V. filtered_like we both live here. and I we both pay rent, so it's time t- for you to filtered_like help me clean up this apartment.",M,21,Y,NA,NA,NA
167,phonecall,"Hi, how's your day today just good, what happened what you do at work? huh oh yeah of course hm what did you eat, today yeah but you have to eat like real food too yeah but filtered_like as a nurse you have to take care of your patients and yourself, hello what's gonna happen, they're, your patients are gonna take care of you next? hm, hold on hey what did mom say about last night oh you didn't tell me you're gonna go to um your friend's house m- filtered_well that's okay you sc- +scratch I scratch your back you scratch man alright see you next weekend say hi to mom for me okay bye",M,21,Y,NA,NA,NA
167,happy,"Hey, guess what happened today! My mom said I get to go to Disney land this weekend. I'm filtered_so excited, I haven't been there in so long. I know, uh I just can't wait to ride all the rides and taste all the food you know, just walking around makes me feel so happy, the aesthetics and everything the environment just makes me wanna be a kid again and of course, te- take the taking self E's with Mickey mouse is filtered_like the goal. H- m-",M,21,Y,NA,NA,NA
167,neutral,"filtered_so my teacher gave me a B today I kind of expected an A but I know I didn't really try too hard, filtered_so, it was all my fault. um it was okay It w- the test wasn't too long, it was just about right. I don't know, I just wish I tried more whatever, B is good.",M,21,Y,NA,NA,NA
1,annoyed,okay filtered_so um my sublet for the summer just canceled a contract first she said oh i'm not gonna take this summer class anymore and i don't need to live here anymore then i said but you already promised us that you gonna live with us and then she says oh i don't have the money to pay for summer school and financial aid's not coming in and then i said but what about us,F,22,N,NA,Vietnamese,10
1,phonecall,hi how are you are you still sleeping how was your first day of class it was good my my boring I have a philosophy class an I was focused for the first hour and then after that I just fell asleep it was filtered_so boring we all talk about filtered_like fizz ick and consciousness and the relationship between the mine and body is filtered_so boring filtered_so how many classes are you taking this quarter only one I have too but I think I'm gonna drop the philosophy class is filtered_so boring you know what class do you have a class a chemistry do you have a lab with that one nope O K good for you do you have any plan for the weekend yeah that's that's filtered_like a good plan um O K what are you gonna do for the rest of the day oh are you home yet oh you home oh wait that was early you went home already I thought you still on campus O K alright I'll talk to you later O K thank you bye bye see ah,F,22,N,NA,Vietnamese,10
1,happy,okay filtered_so um uh i just got an internship and gilight g light accounting and it was awesome the interview was hard um uh first uh when i went in they asked me to uh introduce myself and tell m tell them what they good at and then um i just start selling myself and um it was a wonderful,F,22,N,NA,Vietnamese,10
1,neutral,okay filtered_so my day was kinda boring filtered_well it it's just normal um i wake up arou nine a m um go to of my morning class um kinda filtered_like fall asleep in class but um summer school anyway um and then i get back home for lunch um that was yesterday uh today was a little different,F,22,N,NA,Vietnamese,10
95,neutral,filtered_so when I went home this weekend my uh mom asked me how my competition went an I told her it wouldn't didn't go quite as good as I had hoped an she asked why not filtered_so I told  her  filtered_well I fell on uh couple my jumps and it just wasn't as clean as I'd hoped filtered_so then she asked me oh but do feel good about your performance did you think you did alright an I said yeah but I'm still kinda disappointed in what went down an that's basically what happened,F,19,Y,NA,NA,NA
95,happy,filtered_so I had an interview last night an I think it really it went really really filtered_well basically the interviewer asked me what qualifications I had for the job an I told her about my speech an debate an about my previous lab research and she said that that was really cool filtered_so then she asked me if there were any other things that I thought would make myself um that I thought would make myself uh good person for the job filtered_so then I told her that I I was uh really resilient person uh hard worker an she said that I did really good in the interview,F,19,Y,NA,NA,NA
95,annoyed,filtered_so yesterday I had an arguement with my roommate about her wrapping Christmas presents she said that she had to take up the entire room to wrap up all her presents because she had uh lot of presents to wrap an I said filtered_well you should keep it on your side the room because I need to work here too an she said come on you can just give it up for few minutes but I said no I have uh test tomorrow an I really need to work here an finally she just gave in an moved the stuff to her side of the room,F,19,Y,NA,NA,NA
95,phonecall,hi courtney how you doing i'm doing alright um filtered_so i needed a do a phone call for this study so i'm calling you i guess just talk to me for two minutes basically about whatever mhm okay yeah that's fine mhm yeah yeah that's better which one the political or the math political theory was alright the highlight of it was that she said that um she was gonna give everyone who was in class today credit apparently just randomly just for attending like cus she wanted to reward the people who actually showed up she didn't say point wise she just said it was based off of filtered_like it might improve your grade filtered_like it might raise you a letter grade or not she passed around a piece of paper and had us write down our names yeah someone could have written more than one name but the assumption is you're only gonna write your name and you had to write your t a's name too i guess for verification but still someone could write their friend's name and discussion filtered_so yeah and then math it was very um dramatic today a lot of arguing and him throwing his little um the eraser and stuff you know how he throws it to make a point from a board that's higher up no it just makes everyone kind of think less of him yeah filtered_so that was math i wrote down maybe two things out of what he said and then i'm just gonna go to the book to do the rest of the notes it's a lot better than trying to learn from how he says it yeah i feel filtered_like i should have been talking n should be taking notes before the class yeah filtered_so i just sit there and listen and i'm kinda filtered_like oh okay that makes sense and if th he says something unique then i write it down but if not then yeah um real real quick let me give me a second oh okay hello again i'm not sure what happened but it it looked filtered_like it stopped recording or something so i just pressed the start button again i don't know if that was right or not if it's wrong she'll make me do it again and i'll have to call you again hopefully it's not na keep talking ah okay yeah that's that's weird yeah alright i think sorry i think um i'm supposed to be done now because the lady's kind of looking at me okay filtered_so i'll talk to you after alright bye,F,19,Y,NA,NA,NA
3,annoyed,I was in the library and then the I was sleeping and the librarian first told me that I couldn't sleep there filtered_so then I told her filtered_well that's ridiculous and then she said that it had been a rule for a very long time but then I said that I had seen a lot of people sleeping in the library in the past and she just reminded me that nope it's not possible um it's against the rules so then I told her okay filtered_well what's what's your name I'm going to you know filtered_like talk to your manager do you have a manager and then she said filtered_well here's my business card and you can go ahead and,F,19,Y,Spanish,NA,NA
3,phonecall,Hi Lupita how are you? I'm good too thank you. It's It's kind of cold outside but other than that it's fine I know I expected it to be hot too but I mean there's what can you do about it right? yeah filtered_so I oh oh yeah I'm calling you because I'm part of a study right now filtered_so I have to call a friend and um yeah filtered_so I hope I didn't wake you up or anything okay cool oh what class do you have today? oh that sounds very interesting. Yeah it does. Sound interesting Are you.. I'm sorry? um is that your only class for today? oh okay cool yeah yeah sorry I didn't hear you I didn't hear you oh yeah filtered_so I have I have work today and then I have a class at one I think last week I actually went to the class an hour no sorry on Monday I went to the class an hour early no sitting in an empty classroom and I was filtered_like wondering where everyone was yeah I thought it was earlier filtered_so I showed up like way earlier but I guess it was fine yeah ended up being okayu yeah I was very eager for that class for the knowledge okay all right I'll talk to you later bye,F,19,Y,Spanish,NA,NA
3,happy,my friend told me she was going to Belize first she said that she had booked the plane tickets and then I asked her where to and then she said that she had booked them to Belize and I asked her why. and then she said that it was for a research study she is doing over there in Belize for filtered_like four weeks and I told her that she should bring me back something and then she said that she would try but it's probably not going to happen then I asked her what language they spoke in Belize since she only speaks English and I asked her if it would be difficult for her to communicate and then she said that she should be fine,F,19,Y,Spanish,NA,NA
3,neutral,I went to the store yesterday and the lady at the cashier register really liked my shoes she asked me where I bought them and I told her I bought them at Van's and she expressed uh her filtered_like for the shoes she said she would be heading there after her work then I thought that it was pretty funny because it wasn't the first time I've received compliments for my shoes there those custom-made Van's and then she told me she actually wanted a rose on hers filtered_so I thought that was pretty interesting and she uh said she would go over there so,F,19,Y,Spanish,NA,NA
245,annoyed,filtered_so uh one of my friends just went to the hospital and she is not supposed be talking to another one of my friends who was previously in the hospital and they were in contact together and it was super frustrating because they know they're not supposed to be it talking or hanging out or anything and they've been talking every day and one of 'em was filtered_like i don't understand why we can't be friends filtered_like oo it's not even friends it's filtered_like talk,F,22,Y,NA,NA,NA
245,neutral,today i ran into my teammate maddie and she told me she was going to trader joe's with her friend maggie and they were getting on her scooter while i was walking to do this experiment and she said she would see me later and she said she would go to a birthday party with me,F,22,Y,NA,NA,NA
245,happy,today Sabrina said that the tickets to Bali were really cheap and filtered_so Sandra and I decided to book tickets to Bali for August and we're gonna stay there for filtered_like eleven days filtered_so we're really excited about that we're planning on going to the beach laying on the pool tanning or riding scooters around Bali that sort of thing and we're staying with her parents so it'll be pretty cheap which is in,F,22,Y,NA,NA,NA
245,phonecall,hey what's up has carolyn's surgery started yeah that's so sad wait uh filtered_so i'm just doing this experiment uh um wait filtered_so did they filtered_like figure out whether the shooter was filtered_like an actual student oh that's so sad how how's mom um wait no yeah don't hang up don't hang up yet we just have to talk for filtered_like a few minutes but what what why is mom in so much pain today oh yeah if she does that stuff she needs to filtered_like get in a wheelchair or something oh god um sorry is filtered_like wi is there anything i can do filtered_like should i come home and filtered_so how's car ih carolyn's surgery hasn't even started then dang i mean yeah filtered_like his graduation is over he can go home yeah yeah okay filtered_well call them back thanks bye,F,22,Y,NA,NA,NA
249,annoyed,filtered_so i have a group project for one of my classes for session c at u c l a and um this conversation was through text so one of the girls in my group project is not able to um be on her laptop after two p m and now it's four but we have to submit something to our professor filtered_so um she first said oh filtered_well um i can't be on my laptop after two l i mean after two i won't have access to it and then i said oh filtered_well we have to do this specifically the way that our professor wanted to and yeah it was very irritating,F,24,Y,Farsi,NA,NA
249,neutral,filtered_so i'm going to minnesota this friday and uh my mom was asking me today earlier she she first said oh um filtered_well what time does your flight leave my dad got my flight yesterday and i told her that um that i said um that the flight was going to be leaving at midnight on friday and then she asked me about um the carry on situation and i said that it would cost twenty five dollars for a carry on,F,24,Y,Farsi,NA,NA
249,happy,filtered_so this is when I first um got into u c l a actually um filtered_so I opened up my I logged into my um account on u c l a and I went out of the my room into the living room and I told my mom I first said mom I got in screaming of course and then hes li she um was filtered_like wait what she didn't understand what I was saying 'cause I was screaming so much shes like Loyola I was filtered_like no no u uh I s then I said u c l a,F,24,Y,Farsi,NA,NA
249,phonecall,hi ally it's only going to be for a couple of minutes okay huh what are you doing today oh filtered_so what are you what are your plans for to the rest of the day what appointment oh really what company oh ru when did you do that i didn't know that for the persian t v no which ones wha advertising oh filtered_so it's just in filtered_like an american advertising company it's not iranian oh oh so what would you what would you be doing there at the advertising company oh filtered_so what do you think do you think you will get the job oh wow filtered_so you psow submitted your resume and everything oh they know you filtered_so it's connection interesting i don't know what else um hm another thing to talk about uh oh no wha what did you say to her did she start school did she start school what about um yasamine did she start school next week wow i wish i wasn't in school for a full year and i had breaks like that heh oh really oh she's gonna have a harder time then adjusting with more classes oh she'll be fine okay ally that's all thank you so much have a good day i that's all bye bye,F,24,Y,Farsi,NA,NA
244,annoyed,ok i was talking my mom on the phone the other day about just life and stressing things like that she basically told me that i should get a boyfriend she was filtered_like you'll be so much happier with a partner in life and um gi going through life alone is so sad and scary and i was filtered_like mom filtered_like i don't need a boyfriend right now i'm very happy where i'm at filtered_like maybe in the future i'll want one but right now i'm happy and she was filtered_like filtered_well i really think you could be even happier if you had a boyfriend and someone who can do life with you and hang out with you and go to things thanks mom,F,20,Y,NA,NA,NA
